codigo_isco,ocupacion,isco_1digit,gran_grupo,DAIOE_total,DAIOE_genai,ratio_genai
8160,Food and related products machine operators,8,8 Operadores instal./maquinaria,29.26,1.79,0.061
8171,Pulp and papermaking plant operators,8,8 Operadores instal./maquinaria,28.59,1.67,0.058
8172,Wood processing plant operators,8,8 Operadores instal./maquinaria,27.65,1.53,0.055
8181,Glass and ceramics plant operators,8,8 Operadores instal./maquinaria,27.06,1.59,0.059
8182,Steam engine and boiler operators,8,8 Operadores instal./maquinaria,30.38,1.91,0.063
8183,"Packing, bottling and labelling machine operators",8,8 Operadores instal./maquinaria,26.52,1.58,0.059
8189,Stationary plant and machine operators not elsewhere classified,8,8 Operadores instal./maquinaria,27.96,1.73,0.062
8211,Mechanical machinery assemblers,8,8 Operadores instal./maquinaria,29.47,1.86,0.063
8212,Electrical and electronic equipment assemblers,8,8 Operadores instal./maquinaria,33.82,2.18,0.064
8219,Assemblers not elsewhere classified,8,8 Operadores instal./maquinaria,28.26,1.76,0.062
8311,Locomotive engine drivers,8,8 Operadores instal./maquinaria,26.97,1.57,0.058
8312,"Railway brake, signal and switch operators",8,8 Operadores instal./maquinaria,27.12,1.83,0.068
8321,Motorcycle drivers,8,8 Operadores instal./maquinaria,28.49,2.0,0.07
8322,"Car, taxi and van drivers",8,8 Operadores instal./maquinaria,26.62,1.72,0.065
8331,Bus and tram drivers,8,8 Operadores instal./maquinaria,28.35,1.73,0.061
8332,Heavy truck and lorry drivers,8,8 Operadores instal./maquinaria,27.5,1.85,0.067
8341,Mobile farm and forestry plant operators,8,8 Operadores instal./maquinaria,26.49,1.34,0.051
8342,Earthmoving and related plant operators,8,8 Operadores instal./maquinaria,25.55,1.33,0.052
8343,"Crane, hoist and related plant operators",8,8 Operadores instal./maquinaria,27.17,1.72,0.063
8344,Lifting truck operators,8,8 Operadores instal./maquinaria,27.36,1.79,0.065
8350,Ships' deck crews and related workers,8,8 Operadores instal./maquinaria,24.38,1.38,0.056
9111,Domestic cleaners and helpers,9,9 Ocupaciones elementales,24.86,1.61,0.065
9112,"Cleaners and helpers in offices, hotels and other establishments",9,9 Ocupaciones elementales,25.85,1.56,0.06
9121,Hand launderers and pressers,9,9 Ocupaciones elementales,24.4,1.12,0.046
9122,Vehicle cleaners,9,9 Ocupaciones elementales,25.57,1.37,0.053
9123,Window cleaners,9,9 Ocupaciones elementales,27.12,1.71,0.063
9129,Other cleaning workers,9,9 Ocupaciones elementales,24.96,1.39,0.056
9211,Crop farm labourers,9,9 Ocupaciones elementales,23.44,1.32,0.056
9212,Livestock farm labourers,9,9 Ocupaciones elementales,26.05,1.58,0.061
9213,Mixed crop and livestock farm labourers,9,9 Ocupaciones elementales,24.75,1.45,0.059
9214,Garden and horticultural labourers,9,9 Ocupaciones elementales,23.39,1.3,0.055
9215,Forestry labourers,9,9 Ocupaciones elementales,25.37,1.61,0.064
9216,Fishery and aquaculture labourers,9,9 Ocupaciones elementales,24.29,1.41,0.058
9311,Mining and quarrying labourers,9,9 Ocupaciones elementales,24.42,1.39,0.057
9312,Civil engineering labourers,9,9 Ocupaciones elementales,24.36,1.34,0.055
9313,Building construction labourers,9,9 Ocupaciones elementales,23.39,1.34,0.057
9321,Hand packers,9,9 Ocupaciones elementales,26.38,1.47,0.056
9329,Manufacturing labourers not elsewhere classified,9,9 Ocupaciones elementales,26.0,1.45,0.056
9331,Hand and pedal vehicle drivers,9,9 Ocupaciones elementales,26.92,1.63,0.061
9333,Freight handlers,9,9 Ocupaciones elementales,25.75,1.67,0.065
9334,Shelf fillers,9,9 Ocupaciones elementales,30.24,2.11,0.07
9411,Fast food preparers,9,9 Ocupaciones elementales,28.38,1.92,0.068
9412,Kitchen helpers,9,9 Ocupaciones elementales,24.38,1.42,0.058
9520,Street vendors (excluding food),9,9 Ocupaciones elementales,35.67,3.45,0.097
9611,Garbage and recycling collectors,9,9 Ocupaciones elementales,27.35,1.88,0.069
9612,Refuse sorters,9,9 Ocupaciones elementales,24.62,1.4,0.057
9621,"Messengers, package deliverers and luggage porters",9,9 Ocupaciones elementales,24.52,1.47,0.06
9622,Odd job persons,9,9 Ocupaciones elementales,28.6,1.78,0.062
9623,Meter readers and vending-machine collectors,9,9 Ocupaciones elementales,29.22,1.86,0.064
9624,Water and firewood collectors,9,9 Ocupaciones elementales,23.59,1.31,0.056
9629,Elementary workers not elsewhere classified,9,9 Ocupaciones elementales,29.66,1.98,0.067
